variable,estimate,OR
(Intercept),-1.7032127966271835,0.18209754086925992
fhx_tc,0.35878478261616475,1.4315886656473955
male,-0.07966178773004967,0.9234286084640319
age,-0.02254541766928437,0.9777068310194232
age2,-1.8748293675796484e-05,0.9999812518820723
tsh_low,-0.9944730133316076,0.369918335218209
tsh_high,0.7360496200547484,2.0876721054203258
autoimmune,0.6600349209116559,1.9348599002939382
solid,0.6476868971911257,1.9111151066904577
susp_nodes,1.0973517624217746,2.996220803649495
hypoechoic,0.7233453410202495,2.0613174990626915
irregular,1.008179849855164,2.740608154188375
macrocalc,-0.46285321311519884,0.6294850258729068
microcalc,1.2020992478691441,3.3270939918484084
taller_than_wide,-0.03931453813253495,0.9614482494443962
