variable,etiqueta,shap_rf,shap_xgb,lr_std_coef_abs,lr_OR,rank_rf,rank_xgb,rank_lr
microcalc,Microcalcificaciones,0.048482393580246516,0.36563683,0.47195518891027427,3.3270939918484084,1,1,1
hypoechoic,Nódulo hipoecoico,0.0321219943096165,0.29653695,0.3561409423250587,2.0613174990626915,3,2,4
age,Edad (lineal),0.015903366706177004,0.2911497,0.28685138024848617,0.9777068310194232,6,3,8
tsh_low,"TSH < 0,369",0.01074926198761658,0.27834207,0.38860515868439405,0.369918335218209,8,4,2
irregular,Márgenes irregulares,0.037482381660114555,0.23147441,0.3608670381060824,2.740608154188375,2,5,3
solid,Nódulo sólido,0.018413761103776228,0.22057256,0.2881594128586562,1.9111151066904577,4,6,6
autoimmune,Tiroiditis autoinmune,0.010599228837274871,0.18673466,0.28701256854628426,1.9348599002939382,9,7,7
susp_nodes,Adenopatías sospechosas,0.01666448998399165,0.16386293,0.2958328187356235,2.996220803649495,5,8,5
age2,Edad (cuadrática),0.015645812712887064,0.114551805,0.024064410285298383,0.9999812518820723,7,9,13
male,Sexo masculino,0.0008226936422551884,0.03164886,0.029556453070133056,0.9234286084640319,13,10,12
taller_than_wide,Más alto que ancho,0.004236461816705251,0.0064753373,0.01225609061301623,0.9614482494443962,10,11,14
fhx_tc,Antecedente familiar CDT,0.0009267040066006624,0.0,0.0698396437358813,1.4315886656473955,12,13,11
tsh_high,"TSH > 4,701",0.0003309463937268288,0.0,0.1432765427277026,2.0876721054203258,14,13,9
macrocalc,Macrocalcificaciones,0.0025627323058042247,0.0,0.1387304525242983,0.6294850258729068,11,13,10
